window,result,iou,gt_id,prediction_id,confidence
window_001,TP,0.8361686198441282,1.0,0.0,0.8379963040351868
window_001,FN,,0.0,,
window_002,TP,0.9671538168433554,0.0,0.0,0.9305771589279176
window_003,TP,0.8430619468634971,0.0,0.0,0.8902233242988586
window_003,TP,0.6475476714040131,1.0,1.0,0.6854274272918701
window_003,FN,,2.0,,
window_004,FN,,0.0,,
window_004,FN,,1.0,,
window_005,TP,0.9567111403788703,0.0,0.0,0.9387924671173096
window_005,FN,,1.0,,
window_006,TP,0.7885463342397373,1.0,0.0,0.7447171807289124
window_006,FN,,0.0,,
window_007,FN,,0.0,,
window_008,TP,0.6928485192136233,0.0,0.0,0.8202656507492065
window_009,TP,0.9383268851616406,1.0,1.0,0.6023592352867126
window_009,TP,0.6426725240438151,0.0,0.0,0.8598148226737976
window_010,TP,0.9106048010027155,0.0,0.0,0.6770371794700623
window_011,TP,0.9234783049706512,2.0,2.0,0.6279497742652893
window_011,TP,0.8323083944010945,0.0,0.0,0.9150200486183168
window_011,TP,0.7193327505448064,1.0,1.0,0.8697924613952637
window_012,FN,,0.0,,
window_012,FN,,1.0,,
window_013,TP,0.7824769687364802,1.0,0.0,0.5859116911888123
window_013,FN,,0.0,,
window_014,TP,0.9447679428650063,0.0,0.0,0.9446265697479248
window_015,TP,0.7827004242820005,0.0,1.0,0.6421774625778198
window_015,TP,0.6689209766197525,1.0,0.0,0.8236657381057739
window_016,FN,,0.0,,
window_016,FN,,1.0,,
window_017,TP,0.8469625844237958,1.0,0.0,0.9013045430183412
window_017,TP,0.745170064039039,0.0,1.0,0.7857637405395508
window_017,FN,,2.0,,
window_018,TP,0.8822461110019505,2.0,0.0,0.9499846696853638
window_018,TP,0.675162061030348,0.0,1.0,0.7795218825340271
window_018,FN,,1.0,,
window_019,TP,0.8897542458737991,0.0,0.0,0.9513766169548036
window_019,FN,,1.0,,
window_020,FN,,0.0,,
window_021,TP,0.9576841140589142,0.0,0.0,0.3894006907939911
window_022,TP,0.9437432756996821,1.0,0.0,0.8988109230995178
window_022,TP,0.8029906387840257,3.0,1.0,0.8423185348510742
window_022,TP,0.7778600451797117,2.0,2.0,0.7435181140899658
window_022,FN,,0.0,,
window_023,TP,0.5576048869835022,2.0,0.0,0.5708784461021423
window_023,FN,,0.0,,
window_023,FN,,1.0,,
window_023,FN,,3.0,,
window_023,FN,,4.0,,
window_024,TP,0.7157445180947588,0.0,0.0,0.8942374587059021
window_024,FN,,1.0,,
window_025,TP,0.8554100020302879,1.0,0.0,0.8984127044677734
window_025,TP,0.8505881899902925,0.0,1.0,0.5552671551704407
window_026,TP,0.7875431075737045,2.0,0.0,0.8822240233421326
window_026,TP,0.7416991282161381,0.0,1.0,0.8194504976272583
window_026,TP,0.6990008562021751,3.0,2.0,0.6766985058784485
window_026,FN,,1.0,,
window_027,FN,,0.0,,
window_027,FP,,,0.0,0.3952890634536743
window_028,TP,0.8574487609918069,0.0,0.0,0.7290166020393372
window_029,FN,,0.0,,
window_030,TP,0.8650299787866748,5.0,0.0,0.9244116544723512
window_030,TP,0.7366860611686413,4.0,1.0,0.7688629031181335
window_030,TP,0.7311513302925813,2.0,2.0,0.3653923869132995
window_030,FN,,0.0,,
