window,result,iou,gt_id,prediction_id,confidence
window_001,FN,,0.0,,
window_001,FN,,1.0,,
window_001,FN,,2.0,,
window_001,FN,,3.0,,
window_001,FP,,,0.0,0.9700040817260742
window_002,FN,,0.0,,
window_002,FN,,1.0,,
window_002,FN,,2.0,,
window_002,FP,,,0.0,0.64957594871521
window_003,TP,0.7467737308873457,1.0,0.0,0.9447532892227172
window_003,TP,0.5983135386786074,4.0,1.0,0.5610698461532593
window_003,FN,,0.0,,
window_003,FN,,2.0,,
window_003,FN,,3.0,,
window_004,FN,,0.0,,
window_004,FN,,1.0,,
window_004,FN,,2.0,,
window_004,FN,,3.0,,
window_004,FP,,,0.0,0.9578222036361694
window_005,TP,0.7243903880066245,3.0,0.0,0.9359630346298218
window_005,FN,,0.0,,
window_005,FN,,1.0,,
window_005,FN,,2.0,,
window_006,FN,,0.0,,
window_006,FN,,1.0,,
window_007,FN,,0.0,,
window_008,TP,0.6755440614664705,1.0,0.0,0.36191126704216
window_008,FN,,0.0,,
window_008,FN,,2.0,,
window_008,FN,,3.0,,
window_009,TP,0.9886801941134912,0.0,1.0,0.4504106342792511
window_009,TP,0.8374433885503657,1.0,0.0,0.6373269557952881
window_010,TP,0.9154223074907336,0.0,1.0,0.6250927448272705
window_010,FP,,,0.0,0.8338533639907837
window_010,FP,,,2.0,0.3024879395961761
window_011,TP,0.9944881481532224,0.0,0.0,0.9460129141807556
window_011,TP,0.9677338215426433,2.0,1.0,0.8775208592414856
window_011,FN,,1.0,,
window_011,FN,,3.0,,
window_012,TP,0.9898371163751954,2.0,1.0,0.8148698806762695
window_012,TP,0.9890126502393611,0.0,2.0,0.5272388458251953
window_012,FN,,1.0,,
window_012,FP,,,0.0,0.9529627561569214
window_013,TP,0.9772094612439044,0.0,1.0,0.5140308737754822
window_013,FN,,1.0,,
window_013,FN,,2.0,,
window_013,FN,,3.0,,
window_013,FP,,,0.0,0.8668134808540344
window_014,TP,0.6444161936556139,2.0,0.0,0.6161379218101501
window_014,FN,,0.0,,
window_014,FN,,1.0,,
window_015,TP,0.8781885070800781,0.0,0.0,0.7822723388671875
window_016,FN,,0.0,,
window_016,FN,,1.0,,
window_016,FN,,2.0,,
window_016,FP,,,0.0,0.7127840518951416
window_017,TP,0.6201838876314052,2.0,0.0,0.9470958709716796
window_017,FN,,0.0,,
window_017,FN,,1.0,,
window_018,FN,,0.0,,
window_019,TP,0.6480482284911633,1.0,0.0,0.7453749179840088
window_019,FN,,0.0,,
window_020,TP,0.9742698986833449,0.0,0.0,0.7757059931755066
window_021,TP,0.8270561512525834,1.0,1.0,0.6499058604240417
window_021,TP,0.5221367269268167,2.0,0.0,0.873470664024353
window_021,FN,,0.0,,
