window,result,iou,gt_id,prediction_id,confidence
window_001,TP,0.9216999393771813,0.0,0.0,0.9575114250183104
window_001,FP,,,1.0,0.8276097178459167
window_002,TP,0.9685423487339577,0.0,0.0,0.9526863098144532
window_002,TP,0.9306216632112554,1.0,1.0,0.9506821036338806
window_003,TP,0.9753374471332174,2.0,1.0,0.9509062767028807
window_003,TP,0.9048685651587722,1.0,0.0,0.96091628074646
window_003,TP,0.8184887039179328,0.0,2.0,0.9468274116516112
window_004,TP,0.9663745244152775,1.0,3.0,0.9302579164505004
window_004,TP,0.9524158039193344,0.0,2.0,0.9586769938468932
window_004,TP,0.9186069298655724,2.0,1.0,0.9593451619148254
window_004,FP,,,0.0,0.9605353474617004
window_005,TP,0.9844171845821242,1.0,1.0,0.960452139377594
window_005,TP,0.9223577233614242,0.0,0.0,0.9605602025985718
window_006,TP,0.9531145246698016,0.0,0.0,0.9430331587791444
window_007,FN,,0.0,,
window_007,FN,,1.0,,
window_008,TP,0.8813647879367102,0.0,0.0,0.9554274082183838
window_009,TP,0.8609254757269328,0.0,0.0,0.954399347305298
window_010,TP,0.9402678716643215,0.0,0.0,0.9519799947738647
window_010,FP,,,1.0,0.808967113494873
window_011,TP,0.9550537313299002,0.0,0.0,0.9553353786468506
window_012,TP,0.7820162917516102,1.0,0.0,0.7832872867584229
window_012,FN,,0.0,,
window_013,TP,0.7214989389452088,0.0,2.0,0.6344019174575806
window_013,TP,0.704013060534877,1.0,1.0,0.7067849040031433
window_013,FN,,2.0,,
window_013,FP,,,0.0,0.9432756900787354
window_014,TP,0.9076474165306896,0.0,1.0,0.9366159439086914
window_014,TP,0.8865822941059864,2.0,2.0,0.5183506608009338
window_014,TP,0.8513983851574265,1.0,0.0,0.9463272094726562
window_016,TP,0.9392154217885723,3.0,2.0,0.9403680562973022
window_016,TP,0.8718438636054884,2.0,1.0,0.9458118677139282
window_016,TP,0.8592048830939191,0.0,0.0,0.9544757604599
window_016,FN,,1.0,,
window_017,TP,0.7464765489459928,1.0,1.0,0.9431686401367188
window_017,TP,0.7308187029532968,0.0,0.0,0.9499691724777222
window_018,TP,0.7702263929133908,1.0,0.0,0.9525822401046752
window_018,TP,0.6309460854476402,0.0,1.0,0.9418233633041382
window_019,TP,0.8514150890469999,1.0,1.0,0.9431352615356444
window_019,TP,0.7554070267592612,0.0,0.0,0.9453194737434388
window_020,TP,0.8620241795206751,0.0,2.0,0.904510259628296
window_020,TP,0.8305613410993891,1.0,1.0,0.9208192229270936
window_020,TP,0.8213855119593656,2.0,0.0,0.9213777184486388
window_021,TP,0.8544017106590894,1.0,0.0,0.9478213787078856
window_021,TP,0.8288994209729688,0.0,1.0,0.8358281850814819
window_022,TP,0.6999550129068097,0.0,1.0,0.909334123134613
window_022,FP,,,0.0,0.9428132176399232
window_022,FP,,,2.0,0.9055789709091188
window_023,TP,0.877196067560294,1.0,2.0,0.9432037472724916
window_023,TP,0.842667468504023,0.0,0.0,0.9610772728919984
window_023,TP,0.7047465901423797,2.0,1.0,0.9491959810256958
window_024,TP,0.8614301280381755,1.0,0.0,0.954858899116516
window_024,TP,0.7883425802965183,0.0,1.0,0.9540748596191406
window_025,TP,0.8778228689924005,2.0,2.0,0.935508131980896
window_025,TP,0.8759366238669943,1.0,0.0,0.9431954026222228
window_025,TP,0.8357023012108766,0.0,1.0,0.9373502731323242
window_026,TP,0.9126813778189444,3.0,3.0,0.862862765789032
window_026,TP,0.8874601456037363,2.0,0.0,0.9473617672920228
window_026,TP,0.8682822053237644,1.0,1.0,0.938785195350647
window_026,TP,0.7831846759152632,0.0,2.0,0.881946325302124
window_027,TP,0.9416480399049739,1.0,1.0,0.9433656334877014
window_027,TP,0.886608889449459,3.0,0.0,0.95148503780365
window_027,TP,0.7715756825658586,0.0,2.0,0.9116689562797546
window_027,TP,0.7191808758845945,2.0,3.0,0.90244323015213
window_028,TP,0.9042179581772498,0.0,1.0,0.9513522982597352
window_028,TP,0.9023412895664412,1.0,2.0,0.9313579797744752
window_028,TP,0.8342568091605446,2.0,0.0,0.9601710438728333
window_029,TP,0.9243367298015213,1.0,1.0,0.9461705684661864
window_029,TP,0.8916170054812909,0.0,0.0,0.94956636428833
window_029,FP,,,2.0,0.3492934703826904
window_030,TP,0.9510553944423495,0.0,1.0,0.9547083377838136
window_030,TP,0.9303252892452756,2.0,2.0,0.9535031318664552
window_030,TP,0.9136062440852458,3.0,0.0,0.9552281498908995
window_030,TP,0.853674611896632,1.0,3.0,0.9388697743415833
window_031,TP,0.8858998513849049,0.0,0.0,0.9561676383018494
window_031,TP,0.8149875185716599,1.0,1.0,0.943796455860138
window_032,TP,0.5609797388304445,1.0,0.0,0.781609296798706
window_032,FN,,0.0,,
window_033,TP,0.922972648356548,0.0,0.0,0.940153181552887
